[2026-02-09 15:18:37,075] INFO      [HARSHIT] Starting adapter
[2026-02-09 15:18:37,076] INFO      [HARSHIT] Adapter INIT | Zerodha adapter starting
[2026-02-09 15:18:37,076] INFO      [HARSHIT] LOGIN_START | Starting Zerodha login
[2026-02-09 15:18:40,933] INFO      [HARSHIT] LOGIN_SUCCESS | Access token received: GdE4NvUYCikawIzyZuaLVEe6Mrz04XcZ
[2026-02-09 15:18:40,934] INFO      [HARSHIT] [INSTRUMENTS] CSV already exists
[2026-02-09 15:18:41,079] INFO      [HARSHIT] [INSTRUMENTS] Loaded 169005 rows
[2026-02-09 15:18:41,079] INFO      [HARSHIT] INSTRUMENTS_READY | Instruments loaded
[2026-02-09 15:18:41,079] INFO      [HARSHIT] Adapter READY | Zerodha adapter initialized
[2026-02-09 15:18:41,079] INFO      [HARSHIT] WS_START | Starting Zerodha WebSocket
[2026-02-09 15:18:41,149] INFO      [HARSHIT] Adapter connected successfully
[2026-02-09 15:18:42,553] INFO      [HARSHIT] [WS] Connected to Zerodha
[2026-02-09 15:18:58,963] INFO      [HARSHIT] COMMAND | action=PLACE_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSEFO', 'ExchangeInstrumentID': 42646, 'SymbolName': 'NIFTY', 'ExchangeInstrumentName': 'NIFTY 10FEB2026 CE 28000', 'ProductType': 'MIS', 'OrderType': 'LIMIT', 'OrderSide': 'Buy', 'TimeInForce': 'GFD', 'DisclosedQuantity': 0, 'OrderQuantity': 65, 'LimitPrice': 0.1, 'StopPrice': 0.0, 'BlitzAppOrderID': 3156800272, 'AlgoID': '123456789', 'AlgoCategory': '123654789123', 'IsFictiveOrder': 'False'}
[2026-02-09 15:18:58,964] INFO      [HARSHIT] CACHE_TEMP | blitz_id=3156800272
[2026-02-09 15:18:58,979] ERROR     [HARSHIT] PLACE_FAILED | Failed to resolve tradingsymbol | Segment=NSEFO Token=42646
[2026-02-09 15:20:12,540] INFO      [HARSHIT] Adapter STOP | Zerodha adapter stopped
